listing_id,url,address,postcode,price_isk,size_m2,rooms,bedrooms,bathrooms,property_type,open_house,listed_date,first_fetched,status,change_type,previous_price_isk
947624,https://fasteignir.visir.is/property/947624,Vesturvin 3-211,101,79900000,74.8,2,1,1,Fjölbýlishús,,,,active,,
1000301,https://fasteignir.visir.is/property/1000301,Vesturvin V1 íb 305,101,78300000,72,2,1,1,Fjölbýlishús,,,,active,,
1072343,https://fasteignir.visir.is/property/1072343,Vesturvin V2 íb 107,101,79900000,87.2,2,1,1,Fjölbýlishús,,,,active,,
1057789,https://fasteignir.visir.is/property/1057789,Vesturvin V3 íb 104 66,101,69800000,71.3,2,1,1,Fjölbýlishús,,,,active,,
1072133,https://fasteignir.visir.is/property/1072133,Vesturvin V3 íb 211,101,79900000,74.8,2,1,1,Fjölbýlishús,,,,active,,
1069791,https://fasteignir.visir.is/property/1069791,Ánanaust 1 Vesturvin 2 íb 107,101,79900000,87.2,2,1,1,Fjölbýlishús,,,,active,,
1074156,https://fasteignir.visir.is/property/1074156,Ásvallagata 10a,101,79900000,82.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076145,https://fasteignir.visir.is/property/1076145,Ásvallagata 22,101,79800000,93.8,3,2,1,Fjölbýlishús,"2026-07-14, 16:30–17:00",2026-07-14,,active,open_house,
1076786,https://fasteignir.visir.is/property/1076786,Ásvallagata 46,101,76900000,91.6,4,2,1,Fjölbýlishús,"2026-07-14, 17:15–17:45",2026-07-14,,active,open_house,
1067835,https://fasteignir.visir.is/property/1067835,Óðinsgata 30,101,65500000,93.8,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1071766,https://fasteignir.visir.is/property/1071766,Barmahlíð 41,105,59900000,71.3,2,1,1,Fjölbýlishús,,,,active,,
1073440,https://fasteignir.visir.is/property/1073440,Blönduhlíð 10,105,79900000,119.2,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1077708,https://fasteignir.visir.is/property/1077708,Bolholt 9,105,79000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1077700,https://fasteignir.visir.is/property/1077700,Bolholt 9,105,77000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1073836,https://fasteignir.visir.is/property/1073836,Bolholt 9,105,77000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1073832,https://fasteignir.visir.is/property/1073832,Bolholt 9,105,79000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1068172,https://fasteignir.visir.is/property/1068172,Bolholt 9,105,79000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1068169,https://fasteignir.visir.is/property/1068169,Bolholt 9,105,77000000,72.9,2,1,1,Fjölbýlishús,,,,active,,
1076656,https://fasteignir.visir.is/property/1076656,Borgartún 24,105,79900000,81.4,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074438,https://fasteignir.visir.is/property/1074438,Bríetartún 16,105,79900000,90.5,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1012513,https://fasteignir.visir.is/property/1012513,Bólstaðarhlíð 48,105,76700000,96,4,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073341,https://fasteignir.visir.is/property/1073341,Bólstaðarhlíð 50,105,76400000,92.4,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1071249,https://fasteignir.visir.is/property/1071249,Dalbraut 1,105,65000000,83.3,3,1,1,Fjölbýlishús,,,,active,,
1072187,https://fasteignir.visir.is/property/1072187,Drápuhlíð 12,105,72500000,87.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
